packet_id,time_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,acc_altitude_m,baro_altitude_m,pressure_pascals,temperature_c,gps_altitude_m,current_state,motor_target_degrees,motor_actual_degrees,motor_commanded_power,flap_target_degrees,fix_status
410,115.80,-0.03,-0.51,9.76,-133.84,88.69,100264.19,25.36,0.00,2,-0.00,-4.61,-0.09,0.00,0
411,115.91,-0.10,-0.41,9.72,-134.84,88.62,100265.02,25.37,0.00,2,-0.00,-4.61,-0.09,0.00,0
412,116.02,-0.18,-0.57,9.77,-135.84,88.66,100264.62,25.37,0.00,2,-0.00,-4.61,-0.09,0.00,0
413,116.13,-0.23,-0.78,9.74,-136.84,88.74,100263.67,25.37,0.00,2,-0.00,-4.61,-0.09,0.00,0
414,116.23,-0.11,-0.34,9.75,-137.75,88.71,100264.04,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
415,116.34,-0.24,-0.24,9.74,-138.75,88.72,100263.87,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
416,116.45,-0.32,-0.40,9.74,-139.76,88.65,100264.76,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
417,116.55,-0.22,-0.44,9.72,-140.67,88.59,100265.42,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
418,116.66,-0.20,-0.46,9.72,-141.67,88.66,100264.65,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
419,116.77,-0.19,-0.23,9.81,-142.68,88.64,100264.88,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
420,116.88,-0.09,0.03,9.69,-143.69,88.67,100264.42,25.38,0.00,2,-0.00,-4.61,-0.09,0.00,0
421,116.98,-0.21,0.09,9.71,-144.60,88.61,100265.23,25.39,0.00,2,-0.00,-4.61,-0.09,0.00,0
422,117.09,-0.21,0.05,9.66,-145.61,88.66,100264.58,25.39,0.00,2,-0.00,-4.61,-0.09,0.00,0
423,117.20,-0.31,-0.27,9.79,-146.62,88.64,100264.84,25.39,0.00,2,-0.00,-4.61,-0.09,0.00,0
424,117.30,-0.29,-0.47,9.83,-147.54,88.58,100265.49,25.40,0.00,2,-0.00,-4.61,-0.09,0.00,0
425,117.41,-0.20,-0.62,9.71,-148.55,88.57,100265.68,25.41,0.00,2,-0.00,-5.62,-0.10,0.00,0
426,117.52,-0.27,-0.55,9.73,-149.56,88.47,100266.83,25.41,0.00,2,-0.00,-5.40,-0.10,0.00,0
427,117.63,-0.32,-0.50,9.73,-150.58,88.44,100267.18,25.42,0.00,2,-0.00,-5.40,-0.10,0.00,0
